Foto,Producto en la web,Detalle,Pagina,Codigo,Sugerencia (revisar),Nombre sugerido,% parecido
productos/2. Linea de cumpleanos/Licencias/Frozen/Pinata Frozen.jpg,Piñata de cartón,Frozen,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Licencias/Encanto/Pinata Encanto.jpg,Piñata de Cartón,Encanto,cumpleanos-v2.html,,50503,PIÑATA DE CARTON INTENSAMENTE X 1 OTERO,63
productos/2. Linea de cumpleanos/Licencias/Intensamente/Mantel Intensamente.jpg,Mantel,Intensamente,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Licencias/Merlina/Vasos Merlina.jpg,Vasos Polipapel,Merlina,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Licencias/Merlina/Mantel Merlina.jpg,Mantel,Merlina,cumpleanos-v2.html,,,,
productos/2. Linea de cumpleanos/Licencias/Merlina/Platos Carton Merlina.jpg,Platos Cartón,Merlina,cumpleanos-v2.html,,07917,PIÑATA CARTON MERLINA X1 OTERO,62
productos/1. Cotillon y fiestas/Platos descartables plasticos P17bla.webp,Platos descartables plásticos,,decoracion-v2.html,,,,
productos/5. Decoracion del hogar/Platos/Plato celeste estrella x8 06521 detalle.jpeg,Plato celeste estrella,,decoracion-v2.html,06521,,,
productos/5. Decoracion del hogar/Platos/Plato hoja azul x8 06251.jpeg,Plato hoja azul,,decoracion-v2.html,06521,,,
productos/5. Decoracion del hogar/Floreros/Florero-Conico-Alto.jpg,Florero Cónico Alto,,decoracion-v2.html,,,,
productos/5. Decoracion del hogar/Floreros/Florero-Copon.jpg,Florero Copón,,decoracion-v2.html,,,,
productos/3. Disfraces/Alas de angel/Alas de angel tul.webp,Alas de ángel,tul,disfraces-v2.html,,,,
productos/3. Disfraces/Alas de angel/Alas de angel plumas.webp,Alas de ángel,plumas,disfraces-v2.html,18511,18511,ALAS DE ANGEL CON PLUMA  NEGRAS,63
productos/3. Disfraces/Alas mariposa lunares/Alas mariposa lunares todos.webp,Alas mariposa lunares,"multicolor, violeta",disfraces-v2.html,13046,,,
productos/3. Disfraces/Chalecos reflectivos de seguridad 00632.webp,Chalecos reflectivos,de seguridad,disfraces-v2.html,,,,
"productos/3. Disfraces/Cofias de paisana de pano (naranja, celeste, verde).jpeg",Cofias de paisana de paño,"naranja, celeste, verde",disfraces-v2.html,,,,
productos/8. Seleccion Argentina/Cotillon-Seleccion.webp,Cotillón completo de la Selección,"gorros, vinchas, anteojos, cornetas y más",especiales-v2.html,,,,
productos/1. Cotillon y fiestas/Nieve artificial en aerosol 6863.webp,Nieve artificial en aerosol,,globos-fiesta-v2.html,,,,
productos/1. Cotillon y fiestas/Serpentina en aerosol 3997.jpg,Serpentina en aerosol,,globos-fiesta-v2.html,,,,
productos/3. Disfraces/Gorros y cascos/Gorro flamenco 79275.jpg,Gorro flamenco,,globos-fiesta-v2.html,,,,
productos/1. Cotillon y fiestas/Sombreros y gorros/Corona rey dorada 49035.jpg,Corona de rey dorada,,globos-fiesta-v2.html,,,,
productos/1. Cotillon y fiestas/Anteojos/Anteojo blanco con strass 59521.jpeg,Anteojo blanco con strass,,globos-fiesta-v2.html,59251,,,
productos/4. Reposteria/Moldes/Molde Metálico Antiadherente para Muffins x12 33419.webp,Molde metálico para muffins,x12 cavidades,reposteria-v2.html,33416,,,
productos/4. Reposteria/Moldes/Molde de Silicona Flor Margarita x6.webp,Molde de silicona flor margarita,x6 cavidades,reposteria-v2.html,70733,,,
