Producto en la web,Detalle,Pagina,Codigo en la foto,Causa probable,Codigo sugerido,Nombre en el POS,Precio,Otros candidatos
Alas de ángel,tul,disfraces-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,53806 ALAS ANGEL  GIBRE BLANCA  X1 ($4900); 18511 ALAS DE ANGEL CON PLUMA  NEGRAS ($9500); 18335 ALAS DE ANGEL  GIBRE CHICAS COLOR  ($3500)
Alas de ángel,plumas,disfraces-v2.html,,"B. esta en la lista, falta vincularlo",18511,ALAS DE ANGEL CON PLUMA  NEGRAS,9500,02300 ALAS DE ANGEL CON PLUMA  BLANCA ($9500); 8267 ANGEL MUJ/VAR ARRODILLADO ALAS CON ($14500); 53806 ALAS ANGEL  GIBRE BLANCA  X1 ($4900)
Alas mariposa lunares,"multicolor, violeta",disfraces-v2.html,,"B. esta en la lista, falta vincularlo",13046,ALAS DE MARIPOSA MULTICOLOR M&M,5000,
Chalecos reflectivos,de seguridad,disfraces-v2.html,00632,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cofias de paisana de paño,"naranja, celeste, verde",disfraces-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
Cotillón completo de la Selección,"gorros, vinchas, anteojos, cornetas y más",especiales-v2.html,,C. no esta en la lista de precios (cargar precio en el POS),,,,
Nieve artificial en aerosol,,globos-fiesta-v2.html,6863,C. no esta en la lista de precios (cargar precio en el POS),,,,
Serpentina en aerosol,,globos-fiesta-v2.html,3997,C. no esta en la lista de precios (cargar precio en el POS),,,,
Gorro flamenco,,globos-fiesta-v2.html,79275,C. no esta en la lista de precios (cargar precio en el POS),,,,
Corona de rey dorada,,globos-fiesta-v2.html,49035,C. no esta en la lista de precios (cargar precio en el POS),,,,51889 VINCHA CORONA DORADA VI01 ($700); 00007 SOMBRERO COWBOY DE COLORES CON PLU ($11000); 00002 SOMBRERO COWBOY ROSA CON LENTEJUEL ($10500)
Anteojo blanco con strass,,globos-fiesta-v2.html,59521,A. codigo de la foto con un digito mal,59251,ANTEOJO BLANCO CON STRASS MM159-25 M&M,5000,59251 ANTEOJO BLANCO CON STRASS MM159-25 ($5000); 61154 ANTEOJO CORAZON ROSA CON STRASS MM ($5000); 59268 ANTEOJO NEGRO CON STRASS MM159-25N ($5000)
Molde metálico para muffins,x12 cavidades,reposteria-v2.html,33419,A. codigo de la foto con un digito mal,33416,MOLDE ANTIADHERENTE PARA MUFFIN X 12 COBRE/NEGRO,11900,9601 MOLDE DE DONAS TEFLON 12 CAVIDADES ($14000); 9007 MOLDE CUPCAKE TEFLON 9 CAVIDADES B ($8000); 8433 MOLDE BROWNIE TEFLON 12 CAVIDADES  ($11400)
Molde de silicona flor margarita,x6 cavidades,reposteria-v2.html,,"B. esta en la lista, falta vincularlo",70733,MOLDE DE SILICONA FLOR X 8,4900,62153 MOLDE SILICONA CORAZON/FLOR TRICOL ($6500); 5176 MOLDE SILICONA 9 CAVIDADES MINI CU ($4800); 42317 MOLDE SILICONA 12 MARGARITAS MULTI ($8000)
